nd,number,date,organ,year,basin,species,area,quota_type,legal_name,inn,share_pct,volume_tons,contract_no,contract_date_start,contract_date_end
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АО «АСТРАХАНЬ-РЫБА»,3002005120,,2.4,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АО «КРАЙНОВСКИЙ РЫБОКОМБИНАТ»,0517008670,,0.564,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АО РК «ГЛАВСУЛАК»,0541001837,,0.174,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АРТЕЛЬ «МАЯК»,3007007610,,1.102,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АРТЕЛЬ «ПУТЬ РЫБАКА»,0531000312,,0.48,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,АССОЦИАЦИЯ РПП РК,0814151023,,0.691,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ЗАО «МТС-СЕЛЬХОЗТЕХНИКА»,0531003440,,0.523,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Абдулбеков Магомедсалам Ибрагимович,052100473648,,0.061,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Абдулбеков Магомедсалам Ибрагимович,052100473648,,0.003,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Абдулбеков Магомедсалам Ибрагимович,052100473648,,0.266,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Богатов Михаил Александрович,080300003099,,0.976,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Будаев Шамиль Тагирович,051600899908,,1.062,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Воронцов Юрий Михайлович,300700031002,,0.02,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Гаджиев Магомед Гаджиевич,052822683620,,0.2,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Гусейнов Шамиль Курамагомедович,056002656320,,0.212,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Магомедов Магомедрасул Магомедович,054777944623,,0.212,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ИП Сагидулаев Зейбулла Алибекович,056102923787,,0.195,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,НП ООО «КАСПИЙ»,3019009490,,1.745,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «АГАТ»,0813006584,,0.547,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «АКВАКУЛЬТУРА»,0560033030,,0.073,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «АМП»,3000008245,,0.232,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «АМП»,3000008245,,0.891,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «АСТРА-ФИШ ХАУЗ»,3025036928,,0.554,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «БАРРАКУДА»,0547005429,,0.07,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «БРЯНСК»,0517000215,,0.018,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «БРЯНСКИЙ РЫБЗАВОД»,0517009137,,0.242,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ВИРА»,3019029513,,0.751,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ВОЛОДАРСКИЙ РЫБНЫЙ ПРОМЫСЕЛ»,3019015550,,2.174,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ГУНИБ»,0517009419,,0.204,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЖЕМЧУГ»,0517010171,,0.459,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЗУФАР»,3019015398,,1.526,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЗУФАР»,3019015398,,2.528,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ИГОЛКИНСКИЙ РЫБПРОМ»,3019021722,,1.552,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО ИМ. «ИМАМА ШАМИЛЯ»,0531004211,,0.117,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «КАЛМРЫБХОЗ»,0803003464,,0.239,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «КАСПИЙ»,0813006062,,1.12,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «КАСПИЙРЫБПРОМ»,3015057990,,4.797,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «КАСПИЙСКИЙ БЕРЕГ»,0517005855,,1.168,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «КАСПИЙ-СУЛАК»,0560039699,,0.547,,,
