ИНН,Название_объекта,Вид_объекта,Страна,Регион,Продукция,Виды_деятельности,Статус,Хоз_субъект,Судно
2537089631,"СКТР ""Стелла Карина""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,Рыба и морепродукты,"промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции, перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТОК-АБ""",1
3005005632,"Общество с ограниченной ответственностью ""АСТРАХАНСКИЙ РЫБНЫЙ ПРОМЫСЕЛ""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Астраханская обл.,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / вобла сушеная (0305)","производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАХАНСКИЙ РЫБНЫЙ ПРОМЫСЕЛ""",1
3005005632,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / рыба и рыбопродукция мороженая (0303),"перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
3005005632,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / мелоч вяленая частиковых пород (0305)","перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
6501231095,"СРТМ ""Кондор""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРИЛЬСКИЙ УНИВЕРСАЛЬНЫЙ КОМПЛЕКС""",1
6516008452,"СРТМ ""ЮМИР"", ООО ""Невод""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты / рыба мороженая / печень трески мороженая (0303),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВОД""",1
6516008452,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / субпродукты рыбные (головы, калтыки, икра ястычная, молоки) (0303)","расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
6516008452,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень минтая мороженая (0303),"расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
6516008452,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
6516008452,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная,"расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
