Группа_Компаний,Юр_Лицо,ИНН,Комментарий,Контакты_ListOrg,Директор_ListOrg,ListOrg_URL
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРМА""",1001082008,Мурманск,"Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 324, офис 422",Смарагдин Кирилл Валерьевич,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА ""БАРЕНЦ""",1001206119,,"Адрес: 186220, Респ Карелия, Кондопожский р-н, г Кондопога, Петрозаводское шоссе, зд 5",Макарова Валерия Валентиновна,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИМУТ""",1001345828,,"Адрес: 185003, Респ Карелия, г Петрозаводск, р-н Зарека, пр-кт Александра Невского, д 35, офис 14",Чирков Сергей Анатольевич,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОГЛАСИЕ""",1002006360,,"Адрес: 186603, Респ Карелия, Кемский р-н, село Гридино",Чевычало Игорь Викторович,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,Торговля,"Адрес: 186220, Респ Карелия, Кондопожский р-н, г Кондопога, Петрозаводское шоссе, зд 5",Гапанович Юлия Викторовна,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ""",1011005348,,"Адрес: 186500, Респ Карелия, Беломорский р-н, г Беломорск, ул Порт-поселок, д 10",Старков Денис Алексеевич,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОЛОВЕЦКАЯ КОМПАНИЯ ""ВИРМА""",1011008571,,"Адрес: 186500, Респ Карелия, Беломорский р-н, село Вирма, д 11",Чевычало Игорь Викторович,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬТЕРНАТИВА""",1018005330,,"Адрес: 186670, Респ Карелия, Лоухский р-н, пгт Чупа, ул Железнодорожная, д 25, офис 3",Старков Денис Алексеевич,
Южморрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМОРСКИЕ МОЛЛЮСКИ""",2502072933,,"Адрес: 692756, ПРИМОРСКИЙ КРАЙ, Г.О. АРТЕМОВСКИЙ, Г. АРТЕМ, УЛ. ПОТЕМКИНА, Д. 15, ОФИС 203",Ефремов Александр Владимирович,
Южморрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМОРСКИЙ МИНТАЙ""",2502077466,"Требует проверки (ИИ): Компания связана с несколькими группами через узлы графа связей, но нет явного указания на принадлежность к одной из них.","Адрес: 692756, ПРИМОРСКИЙ КРАЙ, Г.О. АРТЕМОВСКИЙ, Г. АРТЕМ, УЛ. ПОТЕМКИНА, Д. 15, ОФИС 203",Ефремова Арина Леонидовна,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИЯ""",2503017090,,"Адрес: 692953, ПРИМОРСКИЙ КРАЙ, Г.О. НАХОДКИНСКИЙ, Г НАХОДКА, МКР. ПОСЕЛОК ЛИВАДИЯ, УЛ 1-Я КОЛХОЗНАЯ, Д. 5В, ОФИС 1",Истратий Сергей Васильевич,
Южморрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""НОВЫЙ МИР""",2503023449,Завод,"Адрес: 692804, Приморский край, г Большой Камень, ул Ганслеп, д 10","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТСТАНДАРТ""",
ГК Доброфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬБАКОР ПРИМ""",2503030527,"Требует проверки (ИИ): Компания имеет связи с несколькими группами, но нет четкого указания на принадлежность к одной из них.","Адрес: 690090, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. АВРОРОВСКАЯ, ЗД. 10, КАБ. 210",Федотов Сергей Вячеславович,
Южморрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РК ""ПРИМРЫБФЛОТ""",2503032475,,"Адрес: 692954, Приморский край, г Находка, мкр поселок Ливадия, ул Заводская, д 16, офис 215",Грушко Юрий Анатольевич,
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСКОЙ БРИЗ""",2505008333,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 22",Закшевский Анатолий Иванович,
НБАМР,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАХОДКИНСКАЯ БАЗА АКТИВНОГО МОРСКОГО РЫБОЛОВСТВА""",2508007948,,"Адрес: 692921, Приморский край, г Находка, ул Макарова, д 5",Дарькин Олег Михайлович,
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФКО""",2508044467,,"Адрес: 680011, Хабаровский край, г Хабаровск, ул Джамбула, д 80/1, помещ 16",Петрушин Максим Валентинович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НОВАЯ РЫБОЛОВНАЯ КОМПАНИЯ ""МАРЕН""",2508111410,,"Адрес: 692953, Приморский край, г Находка, мкр поселок Ливадия, ул 1-я Колхозная, д 5В, офис 1",Истратий Сергей Васильевич,
Южморрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМРЫБФЛОТ""",2508113992,"Требует проверки (ИИ): Компания связана с несколькими группами через узлы графа связей, но нет явного указания на принадлежность к одной из них.","Адрес: 690090, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. АВРОРОВСКАЯ, ЗД. 10, ОФИС 3.12",Федотов Сергей Вячеславович,
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕОБРАЖЕНИЕ ВОСТОКА""",2508144045,,"Адрес: 690001, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ПУШКИНСКАЯ, Д. 33А, ОФИС 303В",Закшевский Анатолий Иванович,
ГК Гидрострой ПБТФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОК""",2508145352,дочерняя структура ПБТФ,"Адрес: 692998, ПРИМОРСКИЙ КРАЙ, М.О. ЛАЗОВСКИЙ, ПГТ. ПРЕОБРАЖЕНИЕ, УЛ. ПОРТОВАЯ, Д. 1, ОФИС 302",Еремеев Сергей Мстиславович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ ПЛЮС""",2508146719,,"Адрес: 692435, Приморский край, г Дальнегорск, село Каменка, ул Комсомольская, д 13, офис 4",Мячин Олег Владимирович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСКА ПЛЮС""",2508146726,,"Адрес: 692435, Приморский край, г Дальнегорск, село Каменка, ул Комсомольская, д 13, офис 4",Мячин Олег Владимирович,
