ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
0505009076,"ООО ""НОВОКОСИНСКИЙ РЫБОКОМБИНАТ""",,,,АХМЕДОВ АХМЕД БАДАВИЕВИЧ
0505010770,"ООО ""РПК КАСПИЙ""",,,,САЛАВАТОВ УЛУГБЕК ДЖАНБУЛАТОВИЧ
051600899908,ИП Будаев Шамиль Тагирович,,,,
0517000215,"ООО ""БРЯНСК""",,,,БОВИН ВЛАДИМИР ВЛАДИМИРОВИЧ
0517000230,"ООО ""ЧЕРНОБЫЛЬ""",,,,КАПИЕВА ФАРИДА МУДАРИСОВНА
0517001843,"РПКК ""ВОЛНА РЕВОЛЮЦИИ""",,,,КОВАЛЕВ НИКОЛАЙ НИКОЛАЕВИЧ
0517004178,"РПКК ""ЗАВЕТЫ ИЛЬИЧА""",,,,ДЖАБУЕВ МУРАД ИБРАГИМОВИЧ
0517005855,"ООО  ""КАСПИЙСКИЙ БЕРЕГ""",,,,АЛИМАМЕДОВ ИБРАГИМ МУРЗАЕВИЧ
0517007771,"ООО ""ТЕРЕК""",,,,МЕЛЬДИКАЕВ ЯЗМАМБЕТ ДЕЛЯЕВИЧ
0517008670,"АО ""КРАЙНОВСКИЙ РЫБОКОМБИНАТ""",,,,АБДУЛМЕДЖИДОВ АЗИ ИБРАГИМГАДЖИЕВИЧ
0517009137,"ООО ""БРЯНСКИЙ РЫБЗАВОД""",,,,БУЛАТОВА НУРИЯТ ЗУБАЙРУГАДЖИЕВНА
0517009419,"ООО ""ГУНИБ""",,,,ДИБИРОВ КУРБАНАЛИ ЗАГИДОВИЧ
0517010171,"ООО ""ЖЕМЧУГ""",,,,ИСАЕВ ХАДЖИМУРАД МАГОМЕДНАБИЕВИЧ
0517011496,"ООО ""ПРИБОЙ""",,,,АЛИСУЛТАНОВА ЗАЛИХА ГАСАНКАДИЕВНА
052100473648,ИП Абдулбеков Магомедсалам Ибрагимович,,,,
052822683620,ИП Гаджиев Магомед Гаджиевич,,,,
0531000312,"АРТЕЛЬ ""ПУТЬ РЫБАКА""",,,,МАГОМЕДСАИДОВ ТИМУР МАГОМЕДГАДЖИЕВИЧ
0531003440,"ЗАО ""МТС-СЕЛЬХОЗТЕХНИКА""",,,,Газимагомедов Салих Асадуллаевич
