PCA_компания,Тип_судна,Название_судна_латиница
"AKROS, JSC",BMRT,BORIS TROFIMENKO
"AKROS, JSC",SRTM,ALEKSEY CHIRIKOV
"AKROS, JSC",SRTM,PETR ILJIN
"AKROS, JSC",SRTM,VIKTORIA I
"AKROS, JSC",SRTM,VILYUCHINSKY
"AKROS, JSC",BMRT,KOMANDOR
"AKROS 3, JSC",BMRT,MEKHANIK KOVTUN
"Collective Farm Fishery by V.I. Lenin",FV,VASILIY KAPLYUK
"Collective Farm Fishery by V.I. Lenin",FV,LENINETS
"Collective Farm Fishery by V.I. Lenin",FV,KOMANDOR
"Collective Farm Fishery by V.I. Lenin",FV,PLANETA
"Collective Farm Fishery by V.I. Lenin",LRFT,SERGEY NOVOSYOLOV
"Collective Farm Fishery by V.I. Lenin",LRFT,SEROGLAZKA
"Collective Farm Fishery by V.I. Lenin",FST,GROMOBOY
"Collective Farm Fishery by V.I. Lenin",FS,IKHTIOLOG
"Dalryba, JSC",BMRT,Borodino
"DMP-RM, JSC",BMRT,Pavel Batov
"Gavan, LLC",-,-
"Intraros, JSC",BMRT,Berezina
"Kamchattralflot, LLC",SRTM,Atlant
"Kolkhoz im Bekereva, JSC",SRTM,Kamchatka Harvest
"Kurilskiy Rybak, JSC",STR,RUT
"Kurilskiy Rybak, JSC",STR,GINNETON
"Kurilskiy Rybak, JSC",STR,GITTE
"Kurilskiy Rybak, JSC",STR,Torland
"Kurilskiy Rybak, JSC",STR,Taimaniya
"Kurilskiy Rybak, JSC",STR,Arktik
"Kurilskiy Rybak, JSC",SS,Mertsana
"Kurilskiy Rybak, JSC",SS,Star 1
"Kurilskiy Rybak, JSC",SS,Rhea
"Kurilskiy Rybak, JSC",SS,Ocean-1
"Kurilskiy Rybak, JSC",SS,Ocean-2
"Kurilskiy Rybak, JSC",SS,Ocean-3
"Kurilskiy Rybak, JSC",RTMKS,Pavel Kutakhov
"MAGADANTRALFLOT, LLC.",RTMKS,MAIRONIS
"MAGADANTRALFLOT, LLC.",BMRT,SOLIDARNOST
"Fishing company Malkinskoe, JSC",SRTM,Mayborg
"Mintay DV CO., LTD.",MRKT,EROFEY
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",RTMKS,Tsaritsa
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Aleksandr Belyakov
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Ilya Konovalov
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Kapitan Faleyev
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Kapitan Maslovets
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Nikolay Chepik
"Nakhodka Active Marine Fishery Base (NBAMR), PJSC",BMRT,Seawind-1
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,STERLYAD
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,SEDANKA
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,KALINOVSK
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,KOSTROMA
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,NOGLIKI
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,PLASTUN
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,KALINOVKA
"Fishing Collective Farm ""Novyi Mir"", JSC",STR,DMITRIY SHEVCHENKO
"Fishing Collective Farm ""Novyi Mir"", JSC",FV,VIKING*
"Fishing Collective Farm ""Novyi Mir"", JSC",FV,NOVIY MIR**
"Fishing Collective Farm ""Novyi Mir"", JSC",FV,LIVADIYA**
"Fishing Collective Farm ""Novyi Mir"", JSC",FV,YUZHNO-MORSKOY**
"Okeanrybflot, JSC",BMRT,ALEKSANDR KSENOFONTOV
"Okeanrybflot, JSC",BMRT,ANATOLIY PONOMAREV
"Okeanrybflot, JSC",BMRT,BAKLANOVO
