Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"ООО ПТФ ""КАРЕЛРЫБА"" — Пикша — 2024","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2024,Норвежский,Пикша,Инвестиционная,0.774,89.134,24.05.2018,23.05.2033,,
"ООО ПТФ ""КАРЕЛРЫБА"" — Пикша — 2025","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2025,Норвежский,Пикша,Инвестиционная,0.774,81.19,24.05.2018,23.05.2033,Регулятор/Инвестквоты,
"ООО ПТФ ""КАРЕЛРЫБА"" — Пикша — 2026","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2026,Норвежский,Пикша,Инвестиционная,0.774,98.004,24.05.2018,23.05.2033,,
"ООО ПТФ ""КАРЕЛРЫБА"" — Треска — 2024","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2024,Норвежский,Треска,Инвестиционная,0.774,298.6,24.05.2018,23.05.2033,,
"ООО ПТФ ""КАРЕЛРЫБА"" — Треска — 2025","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2025,Норвежский,Треска,Инвестиционная,0.774,223.254,24.05.2018,23.05.2033,Регулятор/Инвестквоты,
"ООО ПТФ ""КАРЕЛРЫБА"" — Треска — 2026","ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2026,Норвежский,Треска,Инвестиционная,0.774,186.633,24.05.2018,23.05.2033,Биология/ОДУ,
ООО ПТФ «КАРЕЛРЫБА» — Пикша — 2026,ООО ПТФ «КАРЕЛРЫБА»,1001081999,2026,Северный,Пикша,Промышленная,,98.004,nan,nan,,
ООО ПТФ «КАРЕЛРЫБА» — Треска — 2026,ООО ПТФ «КАРЕЛРЫБА»,1001081999,2026,Северный,Треска,Промышленная,,186.633,nan,nan,,
"ООО ""ВИРМА"" — Краб — 2024","ООО ""ВИРМА""",1001082008,2024,Северный,Краб,Международная,0.726,45.243,06.07.2018,05.07.2033,,Группа Согласие
"ООО ""ВИРМА"" — Краб — 2024","ООО ""ВИРМА""",1001082008,2024,Северный,Краб,Международная,0.726,45.243,06.07.2018,05.07.2033,,Группа Согласие
