Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
0407 «Капитан Дураченко»,МК-0407,,,,Эксплуатация,Северный,5190058125,"ООО ""СИЯНИЕ АРКТИКИ""",,,Мурманская обл.
20095 ОРИОН,МК20095,9158197,,,Эксплуатация,Северный,5191407604,"ООО «СТРЕЛЕЦ""",91d8204f5-5610-3baf-1409-4747f5c70296,STRELETS,Мурманская обл.
XX Съезд ВЛКСМ,,8721052,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",4858ea8e4-4822-cb70-d4a8-e536ee9bbedc,XX SYEZD VLKSM,Камчатский край
XXVII Съезд КПСС,,8721040,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",bd99d0d3f-f704-9a0d-6350-517fe757c321,XXVII SYEZD KPSS,Камчатский край
АВАЧА,,,СРТМ,,Эксплуатация,Дальневосточный,4101138370,ООО «ПОЛАР СИ»,6be683451-139c-7fcd-868b-2ff3ae6a75c2,AVACHA,Камчатский край
АНТАРЕС,,,РТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",59daea062-267b-59c9-bb68-4b79087dbb88,ANTARES,Камчатский край
АРКА-35,,8717568,СРТМ,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",1bf14f613-3484-5461-41a5-384bdbbf561c,ARKA 35,Мурманская обл.
АУРУМ,,,СРТМ,,Эксплуатация,Дальневосточный,4101142626,"ООО ""СЕВЕР""",7cd6f7cc1-13cb-fa67-b2b7-65256e7ba4f9,AURUM,Хабаровский край
Авача,,,СРТМ,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",6be683451-139c-7fcd-868b-2ff3ae6a75c2,AVACHA,Сахалинская обл.
Аделаида,,,СРТМ,,Эксплуатация,Дальневосточный,2500000073,"АО ""ДАЛЬРЫБА""",144382d67-72c2-eb4e-bcbe-f1e9ab23cbcf,ADELAIDA,Приморский край
Адмирал Колчак,,9076208,БМРТ,,Эксплуатация,Дальневосточный,2508044467,"ООО «СОФКО""",758c695a3-35cb-06ec-0930-0231c3851e96,ADMIRAL KOLCHAK,Хабаровский край
Адмирал Шабалин,М-0002,8607165,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,1f8f0c096-63f0-cbdc-4d05-7643c9ffc330,ADMIRAL SHABALIN,Мурманская обл.
Азимут,МК-0648,,,,Эксплуатация,Северный,5191204516,"ООО ""Арктиксервис""",e6937f641-1a1d-611f-effa-d69b8a869bd7,AZIMUT,Мурманская обл.
