haul_id,start_time,end_time,date_local,duration_hours,points,mean_speed,mean_depth,min_depth,max_depth,distance_nm,lat_start,lon_start,lat_end,lon_end
1,2026-01-03 06:16:19+00:00,2026-01-03 07:18:58+00:00,2026-01-03,1.0441666666666667,3,3.599999984105428,-242.33333333333334,-247,-237,3.7854257573385874,54.28255,154.24771666666666,54.34558333333333,154.24746666666667
2,2026-01-03 09:49:21+00:00,2026-01-03 12:10:25+00:00,2026-01-03,2.351111111111111,9,3.799999952316284,-225.55555555555554,-235,-210,8.49773167457418,54.385533333333335,154.3412,54.281715,154.4012
3,2026-01-04 06:15:55+00:00,2026-01-04 08:28:08+00:00,2026-01-04,2.203611111111111,6,4.133333285649617,-379.1666666666667,-425,-336,8.17065062621051,55.18663333333333,150.39378333333335,55.18386666666667,150.15731666666667
4,2026-01-04 08:58:19+00:00,2026-01-04 11:54:57+00:00,2026-01-04,2.9438888888888886,13,3.5692307398869443,-384.53846153846155,-418,-363,10.52995335196434,55.18966666666667,150.19426666666666,55.23935,150.201715
5,2026-01-04 17:40:40+00:00,2026-01-04 19:09:17+00:00,2026-01-04,1.4769444444444444,7,3.4857142993382046,-387.2857142857143,-412,-353,5.160951087948151,55.28554833333333,150.12141666666668,55.218581666666665,150.11495
6,2026-01-04 19:47:06+00:00,2026-01-04 21:05:28+00:00,2026-01-04,1.306111111111111,5,4.380000019073487,-353.8,-373,-327,5.709768248470037,55.2284,150.082665,55.321416666666664,150.08518333333333
7,2026-01-04 23:30:25+00:00,2026-01-05 00:34:28+00:00,2026-01-04,1.0675,5,3.0399999618530273,-409.2,-420,-399,3.2848261941993813,55.329566666666665,149.94228333333334,55.27713333333333,149.93096666666668
8,2026-01-05 01:54:46+00:00,2026-01-05 05:39:39+00:00,2026-01-05,3.7480555555555553,12,3.1666666666666665,-386.3333333333333,-429,-336,12.076678824028372,55.18631666666667,149.91676666666666,55.38535,149.89863333333332
9,2026-01-05 08:23:04+00:00,2026-01-05 09:25:18+00:00,2026-01-05,1.0372222222222223,4,4.300000071525574,-372.0,-417,-309,4.564524146537785,55.41448333333334,149.90561666666667,55.338883333333335,149.89605
10,2026-01-05 11:06:09+00:00,2026-01-05 14:37:16+00:00,2026-01-05,3.5186111111111114,9,3.455555544959174,-370.22222222222223,-417,-334,11.674449802428258,55.211533333333335,149.93376666666666,55.396883333333335,149.86655
11,2026-01-05 15:53:09+00:00,2026-01-05 19:23:00+00:00,2026-01-05,3.4975,10,3.8600000143051147,-361.9,-453,-278,12.718379327877239,55.46548333333333,149.87356666666668,55.2569,149.90461666666667
12,2026-01-05 21:38:20+00:00,2026-01-05 22:43:29+00:00,2026-01-05,1.0858333333333334,6,3.350000023841858,-367.3333333333333,-387,-352,3.8348513721377895,55.14454833333333,150.0042,55.15788333333333,150.10038166666666
13,2026-01-06 00:11:05+00:00,2026-01-06 02:08:02+00:00,2026-01-06,1.9491666666666667,7,4.071428605488369,-376.85714285714283,-430,-349,7.728732666157518,55.1848,149.96083333333334,55.30258333333333,149.89948166666667
14,2026-01-06 03:08:08+00:00,2026-01-06 04:39:06+00:00,2026-01-06,1.5161111111111112,6,4.0,-366.5,-402,-348,6.200607614623704,55.27746666666667,149.91971666666666,55.175383333333336,149.93436666666668
15,2026-01-06 06:48:56+00:00,2026-01-06 08:13:11+00:00,2026-01-06,1.4041666666666666,5,3.2200000286102295,-365.4,-399,-348,4.20075541483502,55.208,149.93941666666666,55.27591666666667,149.92745
16,2026-01-06 13:03:18+00:00,2026-01-06 15:21:35+00:00,2026-01-06,2.3047222222222223,9,3.1666666666666665,-398.44444444444446,-448,-350,7.430213431216616,55.216766666666665,149.91878333333332,55.327733333333335,149.87876666666668
17,2026-01-06 19:37:17+00:00,2026-01-06 21:10:49+00:00,2026-01-06,1.5588888888888888,6,3.599999984105428,-417.6666666666667,-466,-379,5.55414797096055,55.14715,149.99189833333332,55.14298333333333,149.90376666666666
18,2026-01-07 00:55:43+00:00,2026-01-07 04:23:08+00:00,2026-01-07,3.4569444444444444,10,3.5,-379.2,-434,-350,11.958886805605717,55.3096,149.9024,55.20295,149.94483333333332
