haul_id,start_time,end_time,date_local,duration_hours,points,mean_speed,mean_depth,min_depth,max_depth,distance_nm,lat_start,lon_start,lat_end,lon_end
1,2026-01-01 14:31:06+00:00,2026-01-01 17:09:30+00:00,2026-01-01,2.64,5,4.940000057220459,-429.0,-556,-283,14.690424892498095,51.820483333333335,158.60771666666668,51.61323333333333,158.39803333333333
2,2026-01-03 02:03:58+00:00,2026-01-03 03:15:49+00:00,2026-01-03,1.1975,4,4.399999916553497,-258.0,-263,-252,5.066788829207575,54.01108333333333,154.2675166666667,54.09484833333333,154.25091666666663
3,2026-01-03 06:16:19+00:00,2026-01-03 07:18:58+00:00,2026-01-03,1.0441666666666667,3,3.599999984105428,-242.33333333333334,-247,-237,3.7854257573385874,54.28255,154.24771666666666,54.34558333333333,154.24746666666667
4,2026-01-03 09:05:07+00:00,2026-01-03 12:10:25+00:00,2026-01-03,3.0883333333333334,12,4.091666638851166,-223.41666666666666,-235,-210,11.72569805787553,54.40345,154.34568333333334,54.281715,154.4012
5,2026-01-04 04:03:55+00:00,2026-01-04 05:35:07+00:00,2026-01-04,1.52,7,4.000000034059797,-343.2857142857143,-365,-329,4.374988267713197,55.196133333333336,150.3972,55.18131666666667,150.32593333333332
6,2026-01-04 06:15:55+00:00,2026-01-04 11:54:57+00:00,2026-01-04,5.650555555555556,20,3.8349999666213987,-384.9,-425,-336,20.079302604256092,55.18663333333333,150.39378333333335,55.23935,150.201715
7,2026-01-04 13:06:38+00:00,2026-01-04 13:59:06+00:00,2026-01-04,0.8744444444444445,4,3.724999964237213,-345.5,-358,-338,3.0411733546322726,55.2836,150.08843333333334,55.318616666666664,150.02826666666667
8,2026-01-04 15:32:11+00:00,2026-01-04 16:26:27+00:00,2026-01-04,0.9044444444444444,5,4.179999923706054,-354.2,-368,-342,3.6590555055825185,55.322766666666666,149.9909,55.32588333333333,150.0229
9,2026-01-04 17:40:40+00:00,2026-01-04 19:09:17+00:00,2026-01-04,1.4769444444444444,7,3.4857142993382046,-387.2857142857143,-412,-353,5.160951087948151,55.28554833333333,150.12141666666668,55.218581666666665,150.11495
10,2026-01-04 19:47:06+00:00,2026-01-04 22:56:48+00:00,2026-01-04,3.1616666666666666,8,3.9000000059604645,-345.75,-373,-324,12.478245441439608,55.2284,150.082665,55.3514,149.97678333333334
11,2026-01-04 23:30:25+00:00,2026-01-05 00:34:28+00:00,2026-01-04,1.0675,5,3.0399999618530273,-409.2,-420,-399,3.2848261941993813,55.329566666666665,149.94228333333334,55.27713333333333,149.93096666666668
12,2026-01-05 01:54:46+00:00,2026-01-05 05:39:39+00:00,2026-01-05,3.7480555555555553,12,3.1666666666666665,-386.3333333333333,-429,-336,12.076678824028372,55.18631666666667,149.91676666666666,55.38535,149.89863333333332
13,2026-01-05 06:40:09+00:00,2026-01-05 07:30:22+00:00,2026-01-05,0.8369444444444445,3,3.7333333492279053,-279.6666666666667,-287,-275,2.4515479806071427,55.438115,149.89543333333333,55.4784,149.88561666666666
