vessel,start,end,dur_hours,counterparty,encounteredVesselFlag,kind,latitude,longitude
ALEXANDR BELYAKOV(RUS),2026-05-30 05:10,2026-05-31 07:30,26.3,FRIO NAVARIN,RUS,transshipment,50.4326,155.6908
ALEXANDR BELYAKOV(RUS),2026-04-04 21:30,2026-04-07 13:50,64.3,TIGR 2,RUS,transshipment,55.6967,151.9934
ALEXANDR BELYAKOV(RUS),2026-04-05 21:50,2026-04-06 13:10,15.3,ILYA KONOVALOV,RUS,transshipment,55.6905,151.9145
ALEXANDR BELYAKOV(RUS),2026-04-05 01:40,2026-04-05 20:20,18.7,KAPITAN FALEYEV,RUS,transshipment,55.7539,151.6084
ALEXANDR BELYAKOV(RUS),2026-03-27 02:30,2026-03-27 17:10,14.7,ILYA KONOVALOV,RUS,transshipment,58.4546,150.7278
ALEXANDR BELYAKOV(RUS),2026-03-14 12:00,2026-03-15 23:50,35.8,FRIO SEVASTOPOLIS,RUS,transshipment,58.1944,155.7845
ALEXANDR BELYAKOV(RUS),2026-02-17 21:00,2026-02-22 02:50,101.8,TIGR 2,RUS,transshipment,56.4573,145.5798
ALEXANDR BELYAKOV(RUS),2026-02-19 12:40,2026-02-22 02:50,62.2,KAPITAN FALEYEV,RUS,transshipment,56.5066,145.4059
ALEXANDR BELYAKOV(RUS),2026-02-18 14:00,2026-02-19 12:20,22.3,KAPITAN MASLOVETS,RUS,transshipment,56.3783,145.8259
ALEXANDR BELYAKOV(RUS),2026-02-17 21:00,2026-02-18 04:10,7.2,ILYA KONOVALOV,RUS,transshipment,56.4114,145.7573
ALEXANDR BELYAKOV(RUS),2025-12-12 07:40,2025-12-14 17:30,57.8,TIGR 2,RUS,transshipment,61.395,172.9058
ALEXANDR BELYAKOV(RUS),2025-10-18 15:00,2025-10-18 19:30,4.5,TIGR 2,RUS,supply_other,61.0878,173.3985
ALEXANDR BELYAKOV(RUS),2025-10-06 21:40,2025-10-10 13:30,87.8,FRIO MURMANSK,RUS,transshipment,61.3928,172.8941
ALEXANDR BELYAKOV(RUS),2025-08-19 17:40,2025-08-22 04:20,58.7,TIGR 2,RUS,transshipment,62.918,179.4989
ALEXANDR BELYAKOV(RUS),2025-04-07 00:20,2025-04-09 11:00,58.7,FRIO NAVARIN,RUS,transshipment,57.8388,148.8557
ALEXANDR BELYAKOV(RUS),2025-04-07 20:10,2025-04-09 11:00,38.8,NIKOLAY CHEPIK,RUS,transshipment,57.9338,148.803
