vessel,year,days_observed,fishing_days,steaming_days,encounter_days,port_ops_days,repair_days,layup_days,at_sea_days,fishing_intensity_%,deployment_eff_%,availability_%,transshipments,port_unloads,at_sea_offload_share_%
ALEXANDR BELYAKOV(RUS),2012,366.0,9.6,308.4,3.6,0.0,44.3,0.0,321.7,2.6,3.0,87.9,4,0,100.0
ALEXANDR BELYAKOV(RUS),2013,365.0,12.8,251.9,4.4,8.3,87.6,0.0,269.2,3.5,4.8,76.0,3,2,60.0
ALEXANDR BELYAKOV(RUS),2014,365.0,4.8,259.1,3.6,5.9,91.5,0.0,267.6,1.3,1.8,74.9,5,5,50.0
ALEXANDR BELYAKOV(RUS),2015,365.0,12.4,219.1,3.2,0.0,130.2,0.0,234.8,3.4,5.3,64.3,4,0,100.0
ALEXANDR BELYAKOV(RUS),2016,366.0,117.5,142.8,16.3,6.2,83.1,0.0,276.7,32.1,42.5,77.3,17,3,85.0
ALEXANDR BELYAKOV(RUS),2017,365.0,120.5,63.6,21.6,1.2,158.1,0.0,205.7,33.0,58.6,56.7,22,2,91.7
ALEXANDR BELYAKOV(RUS),2018,365.0,168.2,26.7,21.4,2.1,146.5,0.0,216.4,46.1,77.7,59.9,22,2,91.7
ALEXANDR BELYAKOV(RUS),2019,365.0,99.5,44.8,13.9,4.6,202.2,0.0,158.2,27.2,62.9,44.6,15,3,83.3
ALEXANDR BELYAKOV(RUS),2020,366.0,103.0,47.0,7.1,1.8,207.1,0.0,157.1,28.1,65.6,43.4,9,2,81.8
ALEXANDR BELYAKOV(RUS),2021,365.0,177.7,66.7,9.9,7.2,103.4,0.0,254.3,48.7,69.9,71.7,12,6,66.7
ALEXANDR BELYAKOV(RUS),2022,365.0,45.4,26.1,9.5,0.0,21.5,262.4,81.0,12.4,56.0,22.2,7,0,100.0
ALEXANDR BELYAKOV(RUS),2023,365.0,21.8,19.6,1.1,0.7,121.7,200.2,42.4,6.0,51.3,11.8,1,2,33.3
ALEXANDR BELYAKOV(RUS),2024,366.0,147.6,48.7,24.5,2.2,143.1,0.0,220.7,40.3,66.9,60.9,14,1,93.3
ALEXANDR BELYAKOV(RUS),2025,365.0,185.2,54.5,23.8,3.0,98.5,0.0,263.5,50.7,70.3,73.0,10,3,76.9
ALEXANDR BELYAKOV(RUS),2026,179.6,115.7,43.3,15.4,5.2,0.0,0.0,174.5,64.4,66.3,100.0,10,3,76.9
ILYA KONOVALOV(RUS),2012,366.0,5.1,291.5,1.9,1.2,66.3,0.0,298.5,1.4,1.7,81.9,2,1,66.7
ILYA KONOVALOV(RUS),2013,365.0,15.2,238.0,8.5,0.0,103.3,0.0,261.7,4.2,5.8,71.7,8,0,100.0
ILYA KONOVALOV(RUS),2014,365.0,102.1,188.1,7.9,1.0,65.9,0.0,298.1,28.0,34.3,81.9,9,2,81.8
ILYA KONOVALOV(RUS),2015,365.0,29.7,245.6,8.1,1.0,80.5,0.0,283.5,8.1,10.5,77.9,7,2,77.8
ILYA KONOVALOV(RUS),2016,366.0,122.0,203.7,3.3,0.7,36.3,0.0,329.0,33.3,37.1,90.1,6,1,85.7
ILYA KONOVALOV(RUS),2017,365.0,157.8,68.9,11.4,0.9,125.9,0.0,238.1,43.2,66.3,65.5,13,2,86.7
ILYA KONOVALOV(RUS),2018,365.0,159.9,40.2,19.7,2.9,142.3,0.0,219.8,43.8,72.7,61.0,21,1,95.5
ILYA KONOVALOV(RUS),2019,365.0,149.8,66.6,20.8,0.1,127.8,0.0,237.2,41.0,63.2,65.0,18,1,94.7
ILYA KONOVALOV(RUS),2020,366.0,171.2,36.0,25.6,2.5,130.8,0.0,232.8,46.8,73.5,64.3,21,1,95.5
ILYA KONOVALOV(RUS),2021,365.0,207.4,66.0,17.4,0.5,73.7,0.0,290.8,56.8,71.3,79.8,19,1,95.0
ILYA KONOVALOV(RUS),2022,365.0,180.8,53.0,20.1,1.9,109.3,0.0,253.9,49.5,71.2,70.1,15,4,78.9
ILYA KONOVALOV(RUS),2023,365.0,186.6,40.6,20.5,3.7,113.6,0.0,247.7,51.1,75.3,68.9,19,2,90.5
ILYA KONOVALOV(RUS),2024,366.0,172.0,51.9,16.0,8.7,117.5,0.0,239.8,47.0,71.7,67.9,11,9,55.0
