vessel,start,end,dur_days,port,port_flag,class,event_kind,is_yard,is_repair,at_repair_location,nearest_yard,yard_distance_km,yard_note,latitude,longitude,voyage
ALEXANDR BELYAKOV(RUS),2012-06-20 22:48,2012-06-30 09:41,9.45,DALIAN,CHN,maintenance,dry_dock_repair,True,True,True,Dalian Shipbuilding Offshore Co Ltd (CSSC DSIC),9.3,"Dalian shipyards (CHN) — крупные доки, рефиты",38.9658,121.7449,67
ALEXANDR BELYAKOV(RUS),2012-06-30 14:47,2012-07-21 05:34,20.62,CHN-2442,CHN,maintenance,repair_docking,False,True,False,Dalian Shipbuilding Offshore Co Ltd (CSSC DSIC),78.9,,39.2004,122.5345,66
ALEXANDR BELYAKOV(RUS),2012-10-21 22:22,2012-11-05 04:49,14.27,BUSAN,KOR,maintenance,dry_dock_repair,True,True,True,Пусан (Busan),6.7,Busan (KOR) — судоремонт/докование,35.0086,129.0834,65
ALEXANDR BELYAKOV(RUS),2013-07-29 01:50,2013-10-17 04:56,80.13,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,62
ALEXANDR BELYAKOV(RUS),2013-10-18 03:55,2013-10-25 14:45,7.45,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),4.5,Находка — НСРЗ,42.7573,132.9325,61
ALEXANDR BELYAKOV(RUS),2014-04-14 02:41,2014-06-07 09:58,54.3,DALIAN,CHN,repair_docking,dry_dock_repair,True,True,True,Далянь (Dalian),10.0,"Dalian shipyards (CHN) — крупные доки, рефиты",38.9372,121.7448,59
ALEXANDR BELYAKOV(RUS),2014-06-10 23:01,2014-07-08 06:00,27.29,BUSAN,KOR,maintenance,dry_dock_repair,True,True,True,Пусан (Busan),5.8,Busan (KOR) — судоремонт/докование,35.0221,129.0839,57
ALEXANDR BELYAKOV(RUS),2014-07-08 06:31,2014-07-18 05:14,9.95,BUSAN NEW PORT,KOR,maintenance,dry_dock_repair,True,True,True,Пусан Новый порт,5.1,Busan New Port (KOR),35.0477,128.7708,56
ALEXANDR BELYAKOV(RUS),2015-04-27 09:38,2015-06-04 00:58,37.64,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),2.1,Находка — НСРЗ,42.7919,132.8741,52
ALEXANDR BELYAKOV(RUS),2015-06-06 11:52,2015-07-29 07:11,52.8,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),1.7,Находка — НСРЗ,42.79,132.8788,51
ALEXANDR BELYAKOV(RUS),2015-09-12 04:08,2015-10-21 22:40,39.77,KORSAKOV,RUS,repair_docking,dry_dock_repair,True,True,True,Корсаков (СРЗ),6.4,Корсаков СРЗ (Сахалин),46.631,142.6963,50
ALEXANDR BELYAKOV(RUS),2016-04-28 02:37,2016-07-20 05:17,83.11,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,49
ALEXANDR BELYAKOV(RUS),2017-06-03 01:35,2017-11-08 04:53,158.14,DALIAN,CHN,major_refit_or_layup,dry_dock_repair,True,True,True,Далянь (Dalian),10.9,"Dalian shipyards (CHN) — крупные доки, рефиты",38.9291,121.756,45
ALEXANDR BELYAKOV(RUS),2018-03-16 18:51,2018-03-27 05:59,10.46,PETROPAVLOVSK,RUS,maintenance,dry_dock_repair,True,True,True,Петропавловск-Камчатский (СРВ),5.8,Петропавловск-Камчатский СРВ,52.9707,158.6766,42
ALEXANDR BELYAKOV(RUS),2018-08-16 19:42,2018-12-19 10:57,124.64,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),2.4,Владивосток — Дальзавод/Славянский СРЗ,43.0429,131.9921,39
ALEXANDR BELYAKOV(RUS),2018-12-20 13:23,2019-01-23 06:55,33.73,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,38
ALEXANDR BELYAKOV(RUS),2019-02-12 22:04,2019-03-07 10:17,22.51,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,36
ALEXANDR BELYAKOV(RUS),2019-03-13 00:21,2019-03-24 01:10,11.03,,KOR,maintenance,dry_dock_repair,False,True,True,Daebul Shipbuilding Co. Ltd.,18.9,,34.6716,126.2426,34
ALEXANDR BELYAKOV(RUS),2019-03-25 01:26,2019-04-09 13:45,15.51,BUSAN,KOR,maintenance,dry_dock_repair,True,True,True,Пусан (Busan),6.6,Busan (KOR) — судоремонт/докование,35.0025,129.0736,33
ALEXANDR BELYAKOV(RUS),2019-04-10 09:00,2019-05-03 12:52,23.16,BUSAN,KOR,maintenance,dry_dock_repair,True,True,True,Пусан (Busan),3.1,Busan (KOR) — судоремонт/докование,35.0265,129.0477,32
ALEXANDR BELYAKOV(RUS),2019-09-13 08:03,2019-09-21 06:51,7.95,BUSAN,KOR,maintenance,dry_dock_repair,True,True,True,Пусан (Busan),6.7,Busan (KOR) — судоремонт/докование,35.0086,129.0834,31
ALEXANDR BELYAKOV(RUS),2019-09-23 06:11,2020-01-21 05:27,119.97,BUSAN,KOR,repair_docking,dry_dock_repair,True,True,True,Пусан (Busan),3.7,Busan (KOR) — судоремонт/докование,35.0183,129.0437,29
ALEXANDR BELYAKOV(RUS),2020-03-02 22:18,2020-05-01 12:26,59.59,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,27
ALEXANDR BELYAKOV(RUS),2020-07-27 05:33,2020-11-07 16:10,103.44,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),5.7,Находка — НСРЗ,42.744,132.9297,25
ALEXANDR BELYAKOV(RUS),2020-11-16 14:50,2020-12-10 11:50,23.88,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,24
ALEXANDR BELYAKOV(RUS),2021-06-22 21:53,2021-06-27 10:46,4.54,NAKHODKA,RUS,port_call,dry_dock_repair,True,True,True,Находка (НСРЗ),5.7,Находка — НСРЗ,42.744,132.9297,20
ALEXANDR BELYAKOV(RUS),2021-06-27 21:12,2021-09-16 02:52,80.24,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.5,Владивосток — Дальзавод/Славянский СРЗ,43.0489,132.0258,19
ALEXANDR BELYAKOV(RUS),2021-12-13 08:40,2022-01-22 13:11,40.19,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,15
ALEXANDR BELYAKOV(RUS),2023-07-20 23:45,2023-11-19 16:03,121.68,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,13
ALEXANDR BELYAKOV(RUS),2024-03-19 23:21,2024-07-30 14:02,132.61,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,10
ALEXANDR BELYAKOV(RUS),2024-12-19 03:19,2024-12-29 14:41,10.47,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,8
ALEXANDR BELYAKOV(RUS),2025-04-15 03:23,2025-07-22 15:05,98.49,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,7
