vessel,year,days_observed,fishing_days,at_sea_days,in_port_days,repair_days,layup_days,availability_%,fishing_intensity_%
ALEXANDR BELYAKOV(RUS),2012,366.0,9.6,321.7,44.3,44.3,0.0,87.9,2.6
ALEXANDR BELYAKOV(RUS),2013,365.0,12.8,269.2,95.8,87.6,0.0,76.0,3.5
ALEXANDR BELYAKOV(RUS),2014,365.0,4.8,267.6,97.4,91.5,0.0,74.9,1.3
ALEXANDR BELYAKOV(RUS),2015,365.0,12.4,234.8,130.2,130.2,0.0,64.3,3.4
ALEXANDR BELYAKOV(RUS),2016,366.0,117.5,276.7,89.3,83.1,0.0,77.3,32.1
ALEXANDR BELYAKOV(RUS),2017,365.0,120.5,205.7,159.3,158.1,0.0,56.7,33.0
ALEXANDR BELYAKOV(RUS),2018,365.0,168.2,216.4,148.6,146.5,0.0,59.9,46.1
ALEXANDR BELYAKOV(RUS),2019,365.0,99.5,158.2,206.8,202.2,0.0,44.6,27.2
ALEXANDR BELYAKOV(RUS),2020,366.0,103.0,157.1,208.9,207.1,0.0,43.4,28.1
ALEXANDR BELYAKOV(RUS),2021,365.0,177.7,254.3,110.7,103.4,0.0,71.7,48.7
ALEXANDR BELYAKOV(RUS),2022,365.0,45.4,81.0,284.0,21.5,262.4,22.2,12.4
ALEXANDR BELYAKOV(RUS),2023,365.0,21.8,42.4,322.6,121.7,200.2,11.8,6.0
ALEXANDR BELYAKOV(RUS),2024,366.0,147.6,220.7,145.3,143.1,0.0,60.9,40.3
ALEXANDR BELYAKOV(RUS),2025,365.0,185.2,263.5,101.5,98.5,0.0,73.0,50.7
ALEXANDR BELYAKOV(RUS),2026,179.6,115.7,174.4,5.2,0.0,0.0,100.0,64.4
