Группа_Компаний,Юр_Лицо,ИНН,Год,Бассейн,Объект_Лова,Тип_Квоты,Доля_%,Объем_Тонн,Дата_Начала_Договора,Дата_Окончания_Договора,Причина_Изменения
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,0.774,89.134,24.05.2018,23.05.2033,
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,0.774,81.19,24.05.2018,23.05.2033,Регулятор/Инвестквоты
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,0.774,98.004,24.05.2018,23.05.2033,
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,0.774,298.6,24.05.2018,23.05.2033,
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,0.774,223.254,24.05.2018,23.05.2033,Регулятор/Инвестквоты
,"ООО ПТФ ""КАРЕЛРЫБА""",1001081999,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,0.774,186.633,24.05.2018,23.05.2033,Биология/ОДУ
,ООО ПТФ «КАРЕЛРЫБА»,1001081999,2026,Северный,Пикша,Промышленная,,98.004,nan,nan,
,ООО ПТФ «КАРЕЛРЫБА»,1001081999,2026,Северный,Треска,Промышленная,,186.633,nan,nan,
Группа Согласие,"ООО ""ВИРМА""",1001082008,2024,Северный,Краб,Международная,0.726,45.243,06.07.2018,05.07.2033,
Группа Согласие,"ООО ""ВИРМА""",1001082008,2024,Северный,Краб,Международная,0.726,45.243,06.07.2018,05.07.2033,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Палтус синекорый,Промышленная,,24.0,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Палтус синекорый,Промышленная,,24.0,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Пикша,Промышленная,,1.234,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Пикша,Промышленная,,1.234,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Сайда,Промышленная,,3.907,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Сайда,Промышленная,,3.907,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Треска,Промышленная,,1.183,nan,nan,
Группа Согласие,ООО «ВИРМА»,1001082008,2026,Северный,Треска,Промышленная,,1.183,nan,nan,
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,335.116,10.08.2018,09.08.2033,
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,305.247,10.08.2018,09.08.2033,Регулятор/Инвестквоты
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,368.464,10.08.2018,09.08.2033,
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,1122.643,10.08.2018,09.08.2033,
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,839.366,10.08.2018,09.08.2033,Регулятор/Инвестквоты
,"ООО ""ГРУППА ""БАРЕНЦ""",1001206119,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,701.682,10.08.2018,09.08.2033,Биология/ОДУ
,ООО «ГРУППА «БАРЕНЦ»,1001206119,2026,Северный,Пикша,Промышленная,,368.464,nan,nan,
,ООО «ГРУППА «БАРЕНЦ»,1001206119,2026,Северный,Треска,Промышленная,,701.682,nan,nan,
,ООО «НОРДМАР»,1001324472,2026,Северный,Окунь морской (s. Mentella),Промышленная,,1.633,nan,nan,
,ООО «АЗИМУТ»,1001345828,2026,Северный,Путассу,Промышленная,,2.114,nan,nan,
,ООО «АЗИМУТ»,1001345828,2026,Северный,Сельдь,Промышленная,,14.3,nan,nan,
,ООО «АЗИМУТ»,1001345828,2026,Северный,Скумбрия,Промышленная,,1.71,nan,nan,
,ООО «СОГЛАСИЕ»,1002006360,2026,Северный,Пикша,Промышленная,,0.635,nan,nan,
,ООО «СОГЛАСИЕ»,1002006360,2026,Северный,Треска,Промышленная,,0.697,nan,nan,
