imo,vessel_name,source_status,rmrs_number,gfw_id,owner,assigned_to,due_date,comment,recommended_action
6914514,"",not_access,"",9074f6a5a-a97a-399c-23ec-b7cac3b205d1,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
6928553,"",not_access,"",cd06c7464-45c5-6896-be19-1ca6bf77cf99,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7234193,"",not_access,"",a790d66f9-9363-44bd-61ba-021748036dc8,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7426863,"",not_access,"",454996a2d-d1d0-ddb1-b341-9a29b589d1d6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7436375,"",not_access,"",2cf06f73c-ce2c-6fe2-232f-06dfb03547e6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7645172,"",not_access,"",1dab53a4e-efd1-2ee5-a97e-4b85d25628f6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7703998,"",not_access,"",d9048d4ec-c1fd-fc76-fde6-fe4740ad5863,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7727425,"",not_access,"",394785234-44e2-99cd-0272-fb478a81192b,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7740934,"",not_access,"",c6901c7ba-a573-b395-916a-155a028997f4,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7832816,"",not_access,"",222a45291-199b-ff15-12e7-b117f8df5c76,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7832945,"",not_access,"",7ff99d590-0692-0cb0-8a39-23e6f412a669,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7920053,"",not_access,"",44d114998-8b63-aca8-d282-f28a67ff097b,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7932757,"",not_access,"",261a61df8-86f7-7d50-72bf-3c944b82bd06,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7941631,"",not_access,"",995beb1c1-117a-3c44-44a8-531c2583822e,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7942180,"",not_access,"",cb4c5bb15-5f68-ac38-4116-9ec72739de6f,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7943184,"",not_access,"",938a3f051-15ea-794f-f2f0-f5dd876df3e2,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
7943201,"",not_access,"",a3cb533ff-fced-0e07-c8a3-08b76f110c9f,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8033235,"",not_access,"",59066796a-a052-9a50-4b0f-ca90ba88fbe6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8033510,"",not_access,"",6b2c69ff4-4059-a693-a82e-32801ce654c2,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8106824,"",not_access,"",1f1859a95-524b-f75a-bbfb-5cfb8751d493,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8116312,"",not_access,"",2cfcab44c-cb80-527c-4963-cfc27f36b1d0,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8225503,"",not_access,"",1126ef70b-b798-13cb-474f-8c34190bab24,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8226765,"",not_access,"",f5435ca58-8c49-c9e3-a157-f24183b6da79,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8227068,"",not_access,"",dfa09ea96-6d3b-9049-9211-4777c0bbcbda,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8228684,"",not_access,"",6ae0c5111-1c6e-44b0-567c-dc2848dc75f3,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8320925,"",not_access,"",71882c052-2bdd-aff4-ec8d-f1147d7070ef,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8357605,"",not_access,"",109adcdcc-c40f-f8fe-871c-032da4a6e741,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8358996,"",not_access,"",2517c7434-41c3-4da9-321d-29bbf4a6a96f,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8401080,"",not_access,"",32e88de7c-c2e8-7fcb-a1b3-fec4e3806ecf,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8411085,"",not_access,"",5ddb64d7e-ec33-e20d-7265-c717e3c59313,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8422876,"",not_access,"",2a870fa64-4f49-e4ab-e457-50b49fac7bf6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8423258,"",not_access,"",43a0cd842-2bd8-585c-efa6-baa92904f0ae,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8509935,"",not_access,"",ac3a6a3b1-148d-6e51-1824-45d15f40f212,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8608846,"",not_access,"",bc56a6fb1-1795-f15a-a568-ac5c6c5f0cae,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8612756,"",not_access,"",1a48d4ea0-06d9-e71e-c0cd-f199c649822e,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8624565,"",not_access,"",4ff71a5b0-0056-2cec-4c89-726e7f47ad56,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8625961,"",not_access,"",8dba3b898-81f8-c5dc-5693-56da3b9caf82,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8667048,"",not_access,"",7df6de6b8-88ea-f21a-fc38-8ce6d2b4039b,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8705838,"",not_access,"",f1de0789d-df04-7949-ea43-5720251593b4,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8710285,"",not_access,"",d8ed88e6f-f471-82cd-e521-db9d0734823c,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8714310,"",not_access,"",b2f15f154-44fc-b294-6ca7-671cad8b1fd5,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8718158,"",not_access,"",9cda982a2-2056-3bf0-8333-8aead3deb839,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8721806,"",not_access,"",20379899d-dcb2-07ec-ba3d-70e48601ede6,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8721856,"",not_access,"",955b4ff4b-b269-f326-2b9c-93e57b1c044f,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8722070,"",not_access,"",6693d5181-1cb5-73fe-f929-eb531a7e4924,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8722123,"",not_access,"",e374f0432-2319-7db6-e0c3-8330a3b91e7c,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8722812,"",not_access,"",2eba0145f-f2c9-8986-c87c-1b1a44802bc0,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8725852,"",not_access,"",2089fcdc1-1266-9df5-777c-34b3df89f63c,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8727678,"",not_access,"",77334f86a-ac3c-6204-053b-cca023cbcd74,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8729432,"",not_access,"",021a7cab7-73d0-bc5c-7702-666a8b117678,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8729987,"",not_access,"",8389a0531-1244-73a2-e085-7dd18409e9a2,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8747977,"",not_access,"",1a153ba95-54db-f7a6-4408-133a73a00133,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8747989,"",not_access,"",594aebcd6-6549-6c6e-9235-16e073414bab,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8747991,"",not_access,"",e051833a0-0baf-f31b-2814-5cc94e4175ce,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8748000,"",not_access,"",4028a4375-5853-5eaa-60a2-49d9a3ec101c,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8811807,"",not_access,"",169f5c609-97e2-4e36-02d5-4e3a039ff107,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
8819287,"",not_access,"",c7024248d-d8bd-d551-9558-e10566d46e1a,"","","","",Queue for AIS/TrustedDocks/manual RMRS access
