imo,vessel_name,source_status,surveys_count,rmrs_number,priority,recommended_action
6920094,DUDINKA,ok,31,684688,P1,Use full RMRS surveys as primary signal
7523283,BREST,ok,19,755187,P1,Use full RMRS surveys as primary signal
7821910,MYS KOMMUNAROV,ok,44,794748,P1,Use full RMRS surveys as primary signal
8020147,ANTEY,ok,27,804776,P1,Use full RMRS surveys as primary signal
8359237,GEFEST,ok,60,201490,P1,Use full RMRS surveys as primary signal
8422242,YASNYY,ok,60,850346,P1,Use full RMRS surveys as primary signal
8610277,VSEVOLOD SIBIRTSEV,ok,74,881650,P1,Use full RMRS surveys as primary signal
8723311,BASKUNCHAKSKIY,ok,31,872082,P1,Use full RMRS surveys as primary signal
8730106,SPOKOYNYY,ok,20,890019,P1,Use full RMRS surveys as primary signal
1051513,АНДРЕЙ БАСАРГИН,ok_via_regbook,0,230192,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
2941832,ОСТРОВНОЙ-2,ok_via_regbook,0,041195,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7032179,ЗВЕЗДА МУРМАНА,ok_via_regbook,0,694770,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7234868,МАЙБОРГ,ok_via_regbook,0,734794,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7311824,СЕВЕРЯНИН II,ok_via_regbook,0,724035,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7376410,ЗАЛИВ ЗАБИЯКА,ok_via_regbook,0,744575,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7382914,ЗВЕЗДА СЕВЕРА,ok_via_regbook,0,735114,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7418725,ДМИТРИЙ,ok_via_regbook,0,743464,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7421198,ОЛЬХОВАТКА,ok_via_regbook,0,732830,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7607273,ВЛАДИМИР ЗАГОСКИН,ok_via_regbook,0,774405,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7704708,ОЛАФССОН,ok_via_regbook,0,775592,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7941643,БУТОВСК,ok_via_regbook,0,801570,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
7945663,БАКЛАНОВО,ok_via_regbook,0,801602,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8001971,ЮГО-ВОСТОК,ok_via_regbook,0,804668,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8024002,ВОЛК АРКТИКИ,ok_via_regbook,0,825734,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8033924,ВОЙКОВО,ok_via_regbook,0,811069,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8117550,ГНУПУР,ok_via_regbook,0,805694,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8133413,КОКШАЙСК,ok_via_regbook,0,820980,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8134912,ЕФИМ КОСТЮКОВ,ok_via_regbook,0,822492,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8315944,ГУЛДРАНГУР,ok_via_regbook,0,835859,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8330712,ВУТАН,ok_via_regbook,0,842782,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8331534,ИРТЫШСК,ok_via_regbook,0,841652,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8352162,БИКИН,ok_via_regbook,0,914872,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8415574,ОСВЕЙСКОЕ,ok_via_regbook,0,830499,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8423533,КИШИНЕВКА,ok_via_regbook,0,840409,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8423557,МЫС БАСАРГИНА,ok_via_regbook,0,841667,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8423583,КРЫМСКИЙ,ok_via_regbook,0,841120,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8504519,ПРОТОН,ok_via_regbook,0,855710,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8504545,ЯХОНТ,ok_via_regbook,0,856412,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8520769,ПРОЕКТ,ok_via_regbook,0,855411,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8522250,МАРТА АРЕНДЗЕЕ,ok_via_regbook,0,851993,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8522286,ОБЕЛЯЙ,ok_via_regbook,0,851577,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8522303,КАРАЧАРОВО,ok_via_regbook,0,852464,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8602866,АЛСЕЙ,ok_via_regbook,0,867313,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8604022,КАПИТАН ГЕРАЩЕНКО,ok_via_regbook,0,867258,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607139,НИКОЛАЙ ТЕЛЕНКОВ,ok_via_regbook,0,875502,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607153,АЛЕКСАНДР КОСАРЕВ,ok_via_regbook,0,875521,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607165,АДМИРАЛ ШАБАЛИН,ok_via_regbook,0,881683,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607177,АЛЕКСАНДР МИРОНЕНКО,ok_via_regbook,0,881946,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607191,ВАСИЛИЙ ФИЛИППОВ,ok_via_regbook,0,884732,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607206,КУРШСКАЯ КОСА,ok_via_regbook,0,885294,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607232,ЯНТАРНЫЙ,ok_via_regbook,0,885913,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607282,ПАВЕЛ КУТАХОВ,ok_via_regbook,0,893854,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607323,ВАСИЛИЙ ЛОЗОВСКИЙ,ok_via_regbook,0,893892,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8607402,КАПИТАН БОГОМОЛОВ,ok_via_regbook,0,902493,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8615318,МЕЛЬКАРТ-7,ok_via_regbook,0,877989,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8617859,ЛИНДГОЛЬМ,ok_via_regbook,0,866715,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8627141,ХОКУТАЦУ МАРУ № 1,ok_via_regbook,0,846637,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8651453,ТУНГИР,ok_via_regbook,0,002010,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8661173,АРКА-31,ok_via_regbook,0,010777,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8661202,ГОРИН,ok_via_regbook,0,971076,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8662634,НАЗИМОВ,ok_via_regbook,0,000725,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8701959,МЕЛЬКАРТ-2,ok_via_regbook,0,877090,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8703593,СОВЕРЕН,ok_via_regbook,0,877739,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8704834,МЕЛЬКАРТ-6,ok_via_regbook,0,877974,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8707446,ЦАРИЦА,ok_via_regbook,0,888199,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8713184,ОСТРОВНОЙ-10,ok_via_regbook,0,877921,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8714530,МЕЛЬКАРТ-4,ok_via_regbook,0,887753,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8716875,ГЕРОИ ДАМАНСКОГО,ok_via_regbook,0,877194,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8717049,КАЮМ,ok_via_regbook,0,877902,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8717192,МЕРЛАНГ,ok_via_regbook,0,877890,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8717568,АРКА-35,ok_via_regbook,0,876740,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721040,XXVII СЪЕЗД КПСС,ok_via_regbook,0,841686,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721052,XX СЪЕЗД ВЛКСМ,ok_via_regbook,0,851851,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721105,МИНИСТР ИШКОВ,ok_via_regbook,0,852356,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721117,МАТВЕЙ КУЗЬМИН,ok_via_regbook,0,862150,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721131,КАПИТАН ФАЛЕЕВ,ok_via_regbook,0,852394,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721167,ИЛЬЯ КОНОВАЛОВ,ok_via_regbook,0,852387,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721181,ВАСИЛЬЕВСКИЙ ОСТРОВ,ok_via_regbook,0,883829,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721210,ВЛАДИМИР БАБИЧ,ok_via_regbook,0,852360,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721246,АНАТОЛИЙ ПОНОМАРЕВ,ok_via_regbook,0,852341,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721260,АЛЕКСАНДР БЕЛЯКОВ,ok_via_regbook,0,862146,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8721985,КОМАРНО,ok_via_regbook,0,862343,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8722032,КИРОВКА,ok_via_regbook,0,840857,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8722111,МОРСКОЙ БРИЗ,ok_via_regbook,0,870246,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8723880,РЫБОЛОВ-1,ok_via_regbook,0,881240,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8724327,КАПИТАН КОЛЕСНИКОВ,ok_via_regbook,0,873687,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8724377,ОБАЯТЕЛЬНЫЙ,ok_via_regbook,0,842602,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8729652,МАГАДАН,ok_via_regbook,0,885843,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8747276,УЗОН,ok_via_regbook,0,000496,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8747329,АЛЧАН,ok_via_regbook,0,000585,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8800468,АСКУР,ok_via_regbook,0,888127,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8801187,СЕВРЫБА-1,ok_via_regbook,0,896424,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8801931,МЕЛЬКАРТ-3,ok_via_regbook,0,887687,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8804074,УГУЛАН,ok_via_regbook,0,887213,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8804309,ИХТИОЛОГ,ok_via_regbook,0,887500,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8805303,ВИЛЮЙ,ok_via_regbook,0,888220,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8809294,ВОСТОК-5,ok_via_regbook,0,887603,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8810451,МАТРИЦА,ok_via_regbook,0,887073,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8810504,СУНТАР,ok_via_regbook,0,887251,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8813702,КАНИН НОС,ok_via_regbook,0,888216,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8815334,ВОСТОК-7,ok_via_regbook,0,888004,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8817423,АЛЕКСЕЙ АНИЧКИН,ok_via_regbook,0,887143,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8817734,ПЕТРОПАВЛОВСК,ok_via_regbook,0,905407,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8821371,ГУРД,ok_via_regbook,0,897713,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
8821462,КАРОЛИНА 77,ok_via_regbook,0,887567,P2,Use regbook class snapshot + enrich via AIS/TrustedDocks
6914514,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
6928553,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7234193,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7426863,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7436375,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7645172,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7703998,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7727425,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7740934,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7832816,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7832945,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7920053,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7932757,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7941631,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7942180,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7943184,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
7943201,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8033235,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8033510,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8106824,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8116312,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8225503,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8226765,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8227068,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8228684,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8320925,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8357605,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8358996,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8401080,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8411085,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8422876,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8423258,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8509935,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8608846,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8612756,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8624565,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8625961,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8667048,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8705838,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8710285,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8714310,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8718158,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8721806,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8721856,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8722070,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8722123,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8722812,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8725852,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8727678,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8729432,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8729987,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8747977,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8747989,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8747991,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8748000,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8811807,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
8819287,"",not_access,0,"",P3,Queue for AIS/TrustedDocks/manual RMRS access
